org_id,size_category,num_stores,annual_revenue_meur,revenue_per_store_meur,it_budget_pct,it_budget_meur,geographic_region,parameter_level,data_sources,avg_store_surface_sqm,employees,employees_per_store,pos_per_store,pos_terminals_total,legacy_system_ratio,baseline_availability_pct,baseline_mttr_hours,baseline_security_incidents_year,baseline_gdpr_compliance,baseline_pci_compliance,baseline_nis2_readiness,baseline_patch_lag_days,security_spend_pct_it,compliance_spend_pct_it,data_type,generation_date,framework_version,random_seed
GIST-SIM-001,small,88,369.1,4.19,1.15,4.23,Sud e Isole,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",911.0,880.0,10.0,6.8,596.0,0.87,99.893,4.9,10.0,0.684,0.83,0.781,106.0,14.1,12.4,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-002,small,70,226.4,3.23,1.12,2.55,Nord,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",870.0,700.0,10.0,8.1,564.0,0.9,99.892,24.0,5.0,0.701,0.617,0.402,54.0,14.0,9.5,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-003,small,73,255.5,3.5,1.11,2.85,Centro,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",814.0,730.0,10.0,4.8,349.0,0.83,99.9,12.0,10.0,0.91,0.763,0.362,113.0,13.1,10.0,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-004,small,51,208.2,4.08,1.75,3.65,Nord,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",518.0,510.0,10.0,3.9,198.0,0.7,99.869,15.4,13.0,0.671,0.549,0.112,365.0,15.5,14.9,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-005,small,70,274.8,3.93,1.49,4.09,Nord,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",871.0,700.0,10.0,6.2,431.0,0.83,99.897,7.2,8.0,0.458,0.895,0.392,224.0,13.8,9.3,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-006,small,74,254.3,3.44,1.49,3.79,Nord,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",665.0,740.0,10.0,5.6,412.0,0.75,99.896,1.8,17.0,0.9,0.706,0.25,152.0,12.0,12.4,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-007,medium,114,560.0,4.91,2.35,13.16,Nord,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",1390.0,1140.0,10.0,10.2,1161.0,0.55,99.9,5.2,11.0,0.924,0.873,0.441,47.0,14.7,13.9,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-008,medium,154,918.8,5.97,2.13,19.54,Sud e Isole,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",1265.0,1540.0,10.0,9.3,1429.0,0.71,99.9,2.3,6.0,0.968,0.815,0.397,54.0,17.6,12.5,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-009,medium,234,1015.8,4.34,1.85,18.75,Sud e Isole,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",1044.0,2340.0,10.0,7.0,1637.0,0.68,99.894,2.4,17.0,0.969,0.88,0.667,90.0,15.0,11.8,SYNTHETIC,2025-07-09,2.0,42
GIST-SIM-010,medium,159,815.1,5.13,2.07,16.87,Nord,1,"{'size_distribution': 'Federdistribuzione (2023)', 'geographic_distribution': 'ISTAT (2023)', 'revenue_data': 'Ufficio Studi Mediobanca (2023)', 'it_budget': 'Osservatorio Innovazione Digitale nel Retail (2023)'}",1230.0,1590.0,10.0,11.8,1870.0,0.63,99.865,12.5,17.0,0.71,0.885,0.411,46.0,15.7,10.4,SYNTHETIC,2025-07-09,2.0,42
