day,assa_score,latency_ms,security_incidents,zero_trust
0,69.85040363432871,19.71358433211115,1,True
1,66.59907652715054,20.130833930599547,1,True
2,67.58516711266907,23.613132015081355,4,True
3,70.29670200627868,22.016277304246696,2,True
4,68.70204573540482,20.00866455102791,4,True
5,64.05475506015452,18.81217657156871,1,True
6,69.55133823755301,19.931736294598377,1,True
7,67.116890340206,21.19138060642242,3,True
8,71.27253487706204,19.477903084181712,1,True
9,70.90478993010369,21.292427301683222,8,True
10,67.45244304709952,23.24445739359198,2,True
11,69.94025368470346,16.316136571763803,2,True
12,69.28678823996408,15.460925976720885,3,True
13,67.02114366144819,21.20629595067243,0,True
14,66.81383866913362,21.68436987097688,3,True
15,67.77980354092824,16.703213088900934,1,True
16,67.29335409636168,18.81170941887123,2,True
17,68.27580363355072,18.256167219200535,0,True
18,68.70552427502909,16.695614075203142,1,True
19,66.43645383284125,22.793957022843685,6,True
20,69.72694293256446,19.399148205529613,1,True
21,68.04835477482938,20.205924408968784,2,True
22,69.73162475650865,20.329071459263233,3,True
23,66.85806026540473,21.5164706885887,1,True
24,65.28155361704687,19.061787315175373,2,True
25,67.55174481445637,18.729854859280394,6,True
26,70.43795710065109,22.972932188400982,2,True
27,68.51612866030577,22.333411002962077,1,True
28,71.0551966484373,20.54848659295081,3,True
29,67.41190218088391,21.269796106474075,4,True
30,63.92917519258412,20.776451693669003,3,True
31,68.37940874993926,16.78135682181709,3,True
32,67.20443233139483,16.25770500723848,4,True
33,69.05284905880454,19.620003287311913,3,True
34,66.79252684919442,19.577007633123834,3,True
35,68.09973159679342,20.248329065332392,1,True
36,67.94026608158495,23.215121361265478,3,True
37,68.83294740060502,20.36000965718464,2,True
38,66.98158319095813,20.348716221227274,4,True
39,62.80659037427357,20.613210870510574,3,True
40,70.18179441921333,21.65467265883296,2,True
41,68.41005199634586,21.47898060635007,2,True
42,66.16787466476224,17.642749791487567,6,True
43,65.22025601381756,18.492782044925654,1,True
44,70.97118209481387,20.363726596051677,3,True
45,67.98231471715457,20.35927728424612,1,True
46,66.29263049432711,20.58007646775545,3,True
47,70.49027087003998,20.81341682463106,2,True
48,71.19416199795512,21.31729941994109,1,True
49,67.32542189273472,21.02468104747187,3,True
50,66.3905855097571,22.711667367857054,2,True
51,65.34343810811369,21.915011368611655,0,True
52,69.6135805905599,21.17470448097491,5,True
53,68.91147350559169,20.42675869150714,3,True
54,66.23338983057492,22.406133846038188,2,True
55,65.24953286137409,22.567940602060737,2,True
56,71.98053683078997,19.99673784929912,2,True
57,70.90660165245035,24.338800256964408,1,True
58,69.18348182265927,20.700349358043994,3,True
59,66.90993156726752,21.722584438062952,0,True
60,69.24518831592553,18.106320250007528,3,True
61,68.2092029414539,17.891276081622717,1,True
62,70.578822708971,22.531297559211833,3,True
