month,compliance_cost,overhead_percentage,audit_hours,approach
0,361.5567879561299,9.7,57.599999999999994,integrated
1,370.2362274360235,9.7,57.599999999999994,integrated
2,338.2526380527991,9.7,57.599999999999994,integrated
3,356.6925072294816,9.7,57.599999999999994,integrated
4,359.9293035670261,9.7,57.599999999999994,integrated
5,348.0274706874438,9.7,57.599999999999994,integrated
6,331.36216134677295,9.7,57.599999999999994,integrated
7,351.7454896072255,9.7,57.599999999999994,integrated
8,336.68655735231937,9.7,57.599999999999994,integrated
9,386.5947122545824,9.7,57.599999999999994,integrated
10,340.40133263621794,9.7,57.599999999999994,integrated
11,354.279497288554,9.7,57.599999999999994,integrated
12,362.72573871276694,9.7,57.599999999999994,integrated
13,351.6707694321155,9.7,57.599999999999994,integrated
14,343.7719811361523,9.7,57.599999999999994,integrated
15,337.64549597981727,9.7,57.599999999999994,integrated
16,363.34389871499155,9.7,57.599999999999994,integrated
17,340.88346608423154,9.7,57.599999999999994,integrated
18,335.4585807804156,9.7,57.599999999999994,integrated
19,345.4509654846606,9.7,57.599999999999994,integrated
20,368.9144295897142,9.7,57.599999999999994,integrated
21,347.3592161154166,9.7,57.599999999999994,integrated
22,315.22262659297985,9.7,57.599999999999994,integrated
23,361.1895458451837,9.7,57.599999999999994,integrated
