org_id,nome_fittizio,size_category,num_stores,annual_revenue_meur,revenue_per_store_meur,it_budget_pct,employees,employees_per_store,pos_terminals_total,pos_per_store,legacy_ratio,avg_surface_sqm,store_format,region,baseline_availability_pct,baseline_mttr_hours,baseline_security_incidents_year,baseline_compliance_score,baseline_patch_lag_days,it_opex_meur_year,security_spend_pct_it,compliance_spend_pct_it,data_type,generation_date,note
ORG-SIM-001,Catena 1 Simulata,small,88,369.1,4.19,1.62,2987,31,281,3.9,0.75,800,Supermercati,Nord,99.1,8.2,46,0.7,113,4.87,12.3,14.8,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-002,Catena 2 Simulata,small,64,235.8,3.68,1.16,2093,33,197,4.2,0.73,800,Discount,Nord,99.08,8.9,35,0.67,119,4.07,13.6,12.6,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-003,Catena 3 Simulata,small,51,185.5,3.64,1.45,1298,37,198,3.8,0.84,800,Supermercati,Sud e Isole,99.35,6.2,34,0.61,99,2.29,12.1,9.4,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-004,Catena 4 Simulata,small,57,233.3,4.09,1.06,1731,26,269,4.2,0.75,800,Discount,Nord,98.98,6.8,36,0.87,106,3.13,12.2,8.8,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-005,Catena 5 Simulata,small,81,320.3,3.95,1.41,3127,28,309,4.5,0.73,800,Supermercati,Nord,99.04,7.5,51,0.68,98,5.3,17.2,8.0,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-006,Catena 6 Simulata,small,57,216.7,3.8,1.55,1655,28,190,3.4,0.78,800,Supermercati,Nord,99.2,8.0,33,0.7,125,2.22,14.1,12.4,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-007,Catena 7 Simulata,medium,225,965.2,4.29,2.49,8964,48,1639,5.7,0.65,1200,Supermercati,Nord,99.68,6.9,116,0.8,82,21.95,12.1,11.6,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-008,Catena 8 Simulata,medium,246,1155.5,4.7,2.46,10566,45,1848,7.0,0.65,1200,Supermercati,Nord,99.77,5.9,127,0.85,92,22.33,13.7,12.9,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-009,Catena 9 Simulata,medium,230,1313.9,5.71,2.42,11964,53,1691,7.0,0.62,1200,Supermercati,Nord,99.2,4.4,119,0.73,89,27.02,16.5,13.0,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-010,Catena 10 Simulata,medium,227,1166.0,5.14,2.06,9149,39,1797,6.2,0.68,1200,Supermercati,Centro,99.4,7.0,118,0.75,97,28.66,17.7,14.4,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-011,Catena 11 Simulata,medium,198,1088.1,5.5,2.03,9118,46,1572,5.2,0.56,1200,Ipermercati,Nord,99.38,3.8,104,0.74,110,21.52,13.8,10.3,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-012,Catena 12 Simulata,medium,203,1095.0,5.39,2.05,8296,51,1508,7.6,0.68,1200,Discount,Centro,99.69,5.5,107,0.78,91,23.28,15.3,10.0,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-013,Catena 13 Simulata,large,307,2348.9,7.65,2.33,16142,58,2650,11.1,0.35,1800,Supermercati,Sud e Isole,99.84,3.3,157,0.84,52,61.15,16.5,9.8,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-014,Catena 14 Simulata,large,467,3692.4,7.91,2.79,25789,49,3634,8.3,0.41,1800,Ipermercati,Sud e Isole,99.35,4.4,240,0.87,71,97.18,12.6,11.4,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
ORG-SIM-015,Catena 15 Simulata,large,288,1833.3,6.37,2.75,13306,68,3292,8.3,0.3,1800,Discount,Sud e Isole,99.9,3.6,154,0.87,77,52.7,15.9,9.4,SYNTHETIC,2025-07-09,Dati generati per simulazione - NON SONO DATI REALI
